Data,Hora,Mandante,Gols_Mandante,Gols_Visitante,Visitante,Resultado
28/01/2026,22:00,Atletico-MG,2.0,2.0,Palmeiras,Empate
28/01/2026,22:00,Coritiba,0.0,1.0,Bragantino,Visitante
28/01/2026,22:00,Internacional,0.0,1.0,Athletico-PR,Visitante
28/01/2026,22:00,Vitoria,2.0,0.0,Remo,Mandante
28/01/2026,22:30,Fluminense,2.0,1.0,Gremio,Mandante
28/01/2026,23:00,Chapecoense-SC,4.0,2.0,Santos,Mandante
28/01/2026,23:00,Corinthians,1.0,2.0,Bahia,Visitante
29/01/2026,00:30,Sao Paulo,2.0,1.0,Flamengo RJ,Mandante
29/01/2026,23:00,Mirassol,2.0,1.0,Vasco,Mandante
30/01/2026,00:30,Botafogo RJ,4.0,0.0,Cruzeiro,Mandante
04/02/2026,22:00,Bragantino,1.0,0.0,Atletico-MG,Mandante
04/02/2026,22:00,Flamengo RJ,1.0,1.0,Internacional,Empate
04/02/2026,23:00,Remo,2.0,2.0,Mirassol,Empate
04/02/2026,23:00,Santos,1.0,1.0,Sao Paulo,Empate
05/02/2026,00:30,Gremio,5.0,3.0,Botafogo RJ,Mandante
05/02/2026,00:30,Palmeiras,5.0,1.0,Vitoria,Mandante
05/02/2026,22:00,Bahia,1.0,1.0,Fluminense,Empate
05/02/2026,23:00,Vasco,1.0,1.0,Chapecoense-SC,Empate
06/02/2026,00:30,Cruzeiro,1.0,2.0,Coritiba,Visitante
11/02/2026,00:30,Vitoria,1.0,2.0,Flamengo RJ,Visitante
11/02/2026,22:00,Chapecoense-SC,3.0,3.0,Coritiba,Empate
11/02/2026,22:00,Mirassol,2.0,2.0,Cruzeiro,Empate
11/02/2026,23:00,Atletico-MG,3.0,3.0,Remo,Empate
12/02/2026,00:30,Sao Paulo,2.0,0.0,Gremio,Mandante
12/02/2026,00:30,Vasco,0.0,1.0,Bahia,Visitante
12/02/2026,22:00,Athletico-PR,2.0,1.0,Santos,Mandante
12/02/2026,22:30,Fluminense,1.0,0.0,Botafogo RJ,Mandante
12/02/2026,23:00,Corinthians,2.0,0.0,Bragantino,Mandante
13/02/2026,00:30,Internacional,1.0,3.0,Palmeiras,Visitante
19/02/2026,22:30,Athletico-PR,0.0,1.0,Corinthians,Visitante
